Marital.status,Application.mode,Application.order,Course,Daytime.evening.attendance,Previous.qualification,Nacionality,Mother.s.qualification,Father.s.qualification,Mother.s.occupation,Father.s.occupation,Displaced,Educational.special.needs,Debtor,Gender,Scholarship.holder,Age.at.enrollment,International,Unemployment.rate,Inflation.rate,GDP,Target
2,12,2,3,0,1,1,19,24,1,1,1,0,0,0,0,41,0,7.6,2.6,0.32,Graduate
1,8,1,12,1,1,1,13,27,10,10,1,0,0,0,0,19,0,15.5,2.8,-4.06,Dropout
1,12,1,5,1,1,1,23,28,6,6,0,0,0,1,0,28,0,12.4,0.5,1.79,Dropout
2,4,1,9,1,3,1,22,27,10,10,0,0,0,0,0,23,0,7.6,2.6,0.32,Dropout
1,1,2,14,1,1,1,15,21,1,6,1,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,1,6,1,1,1,22,9,12,12,0,0,0,0,0,18,0,7.6,2.6,0.32,Graduate
1,8,1,10,1,1,1,13,28,4,4,1,0,0,0,0,19,0,12.7,3.7,-1.7,Dropout
1,1,1,10,1,1,1,13,14,10,10,0,0,0,0,1,18,0,16.2,0.3,-0.92,Graduate
1,1,1,2,1,1,1,23,14,10,3,1,0,0,1,1,18,0,12.7,3.7,-1.7,Graduate
2,12,1,9,1,9,1,22,27,10,10,0,0,0,0,0,25,0,9.4,-0.8,-3.12,Dropout
1,8,1,15,1,1,1,1,23,4,4,0,0,0,1,0,20,0,10.8,1.4,1.74,Dropout
2,12,1,17,0,1,1,1,3,2,3,0,0,0,1,1,26,0,9.4,-0.8,-3.12,Dropout
1,7,2,12,1,1,1,2,28,5,10,1,0,0,0,1,19,0,10.8,1.4,1.74,Graduate
1,8,1,11,1,1,1,1,1,10,10,0,0,0,0,1,19,0,16.2,0.3,-0.92,Graduate
1,8,2,16,1,1,1,1,14,6,6,1,0,0,0,0,18,0,12.4,0.5,1.79,Graduate
1,14,2,12,1,1,1,22,24,12,1,0,0,1,0,0,22,0,7.6,2.6,0.32,Graduate
1,15,1,6,1,1,1,17,8,7,7,1,0,0,0,0,21,0,10.8,1.4,1.74,Dropout
1,1,2,15,1,1,21,13,1,10,10,1,0,0,0,1,19,1,11.1,0.6,2.02,Dropout
5,12,1,10,1,1,1,13,28,10,11,0,0,0,1,0,34,0,12.4,0.5,1.79,Graduate
1,13,1,7,1,1,1,3,3,4,3,1,0,0,1,0,22,0,10.8,1.4,1.74,Dropout
1,8,2,12,1,1,1,22,1,10,5,1,0,0,0,1,19,0,7.6,2.6,0.32,Graduate
1,12,1,4,1,1,1,22,14,7,5,0,0,0,1,0,35,0,15.5,2.8,-4.06,Graduate
1,1,2,2,1,1,14,13,1,5,8,1,0,0,1,0,20,1,7.6,2.6,0.32,Graduate
1,4,1,2,1,3,1,1,2,10,3,0,0,0,1,0,18,0,9.4,-0.8,-3.12,Dropout
1,14,1,2,1,1,1,13,28,10,10,0,0,0,0,1,18,0,13.9,-0.3,0.79,Dropout
1,1,1,6,1,1,1,1,28,10,10,1,0,0,0,0,18,0,12.7,3.7,-1.7,Graduate
1,15,1,8,1,14,1,4,4,3,11,1,0,0,1,0,20,0,12.7,3.7,-1.7,Dropout
1,1,1,12,1,1,1,1,14,10,10,0,0,0,1,0,18,0,12.4,0.5,1.79,Graduate
2,4,1,17,0,3,1,19,24,13,13,1,0,0,1,0,33,0,7.6,2.6,0.32,Dropout
1,12,1,7,1,12,1,1,1,5,4,0,0,1,1,0,31,0,16.2,0.3,-0.92,Dropout
1,1,3,9,1,1,1,22,27,10,6,1,0,0,1,0,19,0,13.9,-0.3,0.79,Graduate
1,14,1,17,0,1,1,22,27,10,10,1,0,0,1,0,25,0,9.4,-0.8,-3.12,Graduate
2,12,1,9,1,1,1,23,27,5,8,1,0,0,0,0,39,0,9.4,-0.8,-3.12,Dropout
1,1,1,10,1,1,1,1,28,10,8,1,0,0,0,1,20,0,8.9,1.4,3.51,Graduate
2,12,1,17,0,1,1,22,27,6,9,0,0,0,1,0,43,0,13.9,-0.3,0.79,Dropout
1,1,5,12,1,1,1,13,27,8,8,1,0,0,0,0,19,0,9.4,-0.8,-3.12,Graduate
1,1,3,6,1,1,1,1,1,5,9,1,0,0,0,0,18,0,8.9,1.4,3.51,Graduate
1,1,3,10,1,1,15,1,1,10,10,0,0,0,0,1,21,1,16.2,0.3,-0.92,Graduate
1,1,3,14,1,1,1,1,1,6,6,0,0,0,0,0,20,0,7.6,2.6,0.32,Graduate
1,9,1,10,1,1,1,23,28,10,8,0,0,1,0,1,18,0,11.1,0.6,2.02,Graduate
2,14,1,4,1,1,1,1,1,5,6,1,0,0,1,0,29,0,15.5,2.8,-4.06,Dropout
1,15,1,8,1,14,1,1,14,5,9,0,0,0,0,0,19,0,12.7,3.7,-1.7,Dropout
1,12,1,15,1,12,1,13,1,8,10,1,0,1,1,0,25,0,12.7,3.7,-1.7,Dropout
1,1,1,12,1,1,1,13,14,5,11,0,0,0,0,0,20,0,12.7,3.7,-1.7,Graduate
4,12,2,9,1,12,1,22,27,10,8,0,0,1,1,0,70,0,10.8,1.4,1.74,Dropout
2,4,1,3,0,3,1,22,27,10,10,0,0,0,0,0,39,0,16.2,0.3,-0.92,Graduate
1,12,1,14,1,7,1,22,27,6,4,0,0,1,1,0,26,0,9.4,-0.8,-3.12,Dropout
2,12,1,12,1,3,1,1,1,5,7,0,0,1,0,0,30,0,13.9,-0.3,0.79,Dropout
2,12,1,4,1,1,1,1,14,5,10,1,0,0,0,0,36,0,8.9,1.4,3.51,Graduate
1,12,1,14,1,1,1,1,1,5,5,0,0,0,0,0,24,0,16.2,0.3,-0.92,Dropout
5,13,1,11,1,2,1,22,27,5,10,0,0,0,0,0,32,0,10.8,1.4,1.74,Graduate
2,15,1,4,1,14,1,22,27,5,8,0,0,0,1,0,37,0,16.2,0.3,-0.92,Dropout
2,12,2,13,1,9,1,19,24,13,13,0,0,0,0,0,39,0,11.1,0.6,2.02,Dropout
1,1,1,10,1,1,1,10,28,5,10,1,0,0,0,0,19,0,11.1,0.6,2.02,Dropout
2,12,1,17,0,1,1,22,27,7,4,0,0,1,1,0,37,0,9.4,-0.8,-3.12,Dropout
1,1,2,12,1,1,1,1,1,5,4,1,0,0,0,0,18,0,15.5,2.8,-4.06,Graduate
1,1,4,15,1,1,1,13,14,10,8,1,0,0,1,0,18,0,12.4,0.5,1.79,Graduate
1,1,1,12,1,1,1,2,1,3,9,0,0,0,0,1,19,0,11.1,0.6,2.02,Graduate
1,9,4,12,1,1,1,3,1,4,5,1,0,0,0,0,18,0,13.9,-0.3,0.79,Dropout
1,9,1,9,1,1,1,13,1,10,8,1,0,0,1,0,20,0,12.4,0.5,1.79,Dropout
1,8,1,2,1,1,1,3,1,10,10,1,0,0,0,0,20,0,12.7,3.7,-1.7,Dropout
1,12,1,12,1,1,1,23,3,10,2,0,0,0,1,0,24,0,15.5,2.8,-4.06,Graduate
1,15,1,4,1,14,1,13,14,10,5,0,0,0,0,0,21,0,15.5,2.8,-4.06,Dropout
1,1,6,12,1,1,1,22,1,6,5,1,0,0,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,1,15,1,1,1,13,28,10,10,0,0,0,1,1,18,0,12.7,3.7,-1.7,Graduate
1,1,1,15,1,1,1,19,28,1,4,0,0,0,1,0,20,0,7.6,2.6,0.32,Dropout
1,1,1,2,1,1,1,3,3,3,6,1,0,0,0,0,19,0,8.9,1.4,3.51,Dropout
2,12,1,17,0,3,1,3,1,2,11,0,0,0,0,0,30,0,12.7,3.7,-1.7,Dropout
2,12,1,9,1,1,1,22,27,10,6,0,0,0,1,0,45,0,15.5,2.8,-4.06,Graduate
1,1,1,12,1,1,1,13,28,8,11,1,0,0,0,1,18,0,15.5,2.8,-4.06,Graduate
1,8,1,11,1,1,1,13,1,10,5,1,0,0,0,0,19,0,7.6,2.6,0.32,Dropout
1,4,1,17,0,15,1,1,27,5,2,0,0,0,0,0,26,0,12.4,0.5,1.79,Graduate
1,1,1,2,1,1,1,1,1,5,4,1,0,1,1,0,21,0,16.2,0.3,-0.92,Dropout
1,12,1,3,0,1,1,19,24,1,1,1,0,0,1,0,29,0,7.6,2.6,0.32,Dropout
1,8,6,12,1,1,1,1,14,8,8,1,0,0,0,1,19,0,11.1,0.6,2.02,Graduate
2,1,1,10,1,1,1,22,27,6,6,0,0,0,0,0,20,0,7.6,2.6,0.32,Graduate
1,8,2,11,1,1,1,1,14,5,7,0,0,0,0,0,20,0,11.1,0.6,2.02,Dropout
1,14,1,13,1,1,1,1,27,6,6,1,0,0,1,0,20,0,15.5,2.8,-4.06,Graduate
1,8,6,12,1,1,1,1,27,2,2,1,0,0,0,0,19,0,10.8,1.4,1.74,Graduate
1,1,2,12,1,1,1,1,27,5,10,1,0,0,0,1,19,0,12.4,0.5,1.79,Graduate
1,8,1,9,1,1,1,22,28,10,10,1,0,1,0,1,18,0,11.1,0.6,2.02,Graduate
1,1,3,6,1,1,1,1,28,10,12,0,0,0,0,0,21,0,7.6,2.6,0.32,Graduate
1,8,1,12,1,1,1,22,27,10,10,0,0,0,0,1,19,0,12.7,3.7,-1.7,Graduate
1,12,1,12,1,12,1,23,28,10,10,0,0,0,0,0,28,0,13.9,-0.3,0.79,Dropout
1,1,1,11,1,1,1,22,28,10,10,1,0,0,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,8,2,10,1,1,1,1,27,8,10,1,0,0,0,1,18,0,12.7,3.7,-1.7,Graduate
1,8,3,13,1,1,1,13,28,10,8,0,0,0,0,1,18,0,12.7,3.7,-1.7,Graduate
1,15,1,8,1,14,1,3,1,3,5,1,0,0,0,0,20,0,12.4,0.5,1.79,Dropout
1,1,1,14,1,1,1,1,1,10,2,1,0,0,0,1,20,0,10.8,1.4,1.74,Graduate
1,15,1,17,0,14,1,22,27,10,10,0,0,0,0,0,26,0,12.7,3.7,-1.7,Graduate
1,1,2,16,1,1,1,3,1,4,6,0,0,0,0,0,21,0,9.4,-0.8,-3.12,Graduate
1,1,1,10,1,1,1,22,14,10,4,1,0,0,0,1,19,0,12.4,0.5,1.79,Graduate
2,12,1,15,1,12,1,13,14,10,5,0,0,1,1,0,42,0,13.9,-0.3,0.79,Dropout
2,12,1,3,0,12,1,22,27,5,9,0,0,0,0,0,32,0,9.4,-0.8,-3.12,Graduate
1,1,1,10,1,1,1,1,1,10,10,0,0,0,0,1,20,0,11.1,0.6,2.02,Graduate
1,1,4,12,1,1,1,1,14,10,8,1,0,0,0,0,19,0,12.7,3.7,-1.7,Graduate
2,1,5,12,1,1,1,1,14,5,5,0,0,0,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,1,12,1,1,1,1,1,5,5,1,0,0,0,1,19,0,9.4,-0.8,-3.12,Graduate
1,8,3,7,1,1,1,3,1,4,4,1,0,0,1,0,18,0,12.4,0.5,1.79,Dropout
1,1,2,6,1,1,1,1,28,10,9,1,0,0,0,1,18,0,8.9,1.4,3.51,Graduate
1,1,2,12,1,1,1,13,1,10,2,0,0,0,0,0,20,0,13.9,-0.3,0.79,Graduate
1,12,1,8,1,14,1,1,3,5,2,0,0,0,1,0,28,0,16.2,0.3,-0.92,Dropout
1,12,1,4,1,1,1,3,1,3,5,0,0,1,1,0,35,0,8.9,1.4,3.51,Dropout
1,1,1,12,1,1,1,23,14,10,6,1,0,0,0,1,20,0,10.8,1.4,1.74,Graduate
1,8,1,8,1,1,1,10,10,3,9,1,0,0,1,0,18,0,12.4,0.5,1.79,Graduate
1,1,1,5,1,1,1,13,14,6,6,0,0,0,1,1,22,0,12.4,0.5,1.79,Graduate
1,1,1,9,1,1,1,22,27,10,7,0,0,0,0,1,18,0,12.4,0.5,1.79,Graduate
2,13,1,11,1,1,1,2,2,19,17,1,0,0,1,0,22,0,7.6,2.6,0.32,Dropout
1,1,1,15,1,1,1,13,9,1,1,1,0,0,1,0,19,0,7.6,2.6,0.32,Graduate
1,17,1,4,1,16,1,1,28,9,9,0,0,0,0,1,23,0,8.9,1.4,3.51,Graduate
1,8,1,6,1,1,1,1,14,6,10,0,0,0,1,0,22,0,7.6,2.6,0.32,Graduate
1,14,5,10,1,1,10,22,14,10,8,1,0,1,0,0,22,1,9.4,-0.8,-3.12,Graduate
1,1,1,9,1,1,1,13,27,10,8,1,0,0,0,0,20,0,7.6,2.6,0.32,Graduate
1,1,1,9,1,1,1,1,14,6,6,1,0,0,1,1,19,0,16.2,0.3,-0.92,Graduate
1,8,1,15,1,1,1,13,27,8,8,0,0,0,0,1,19,0,15.5,2.8,-4.06,Graduate
1,12,1,17,0,1,1,1,1,10,8,0,0,0,1,0,28,0,11.1,0.6,2.02,Dropout
1,1,1,14,1,1,1,1,28,4,10,0,0,1,0,1,19,0,12.4,0.5,1.79,Dropout
2,12,1,4,1,1,1,13,14,5,5,0,0,0,0,0,35,0,15.5,2.8,-4.06,Dropout
1,12,1,9,1,9,1,13,27,8,10,0,0,0,0,0,31,0,10.8,1.4,1.74,Dropout
1,1,4,10,1,1,1,23,1,5,11,1,0,0,0,0,19,0,10.8,1.4,1.74,Graduate
1,13,1,12,1,1,1,22,1,10,5,1,0,0,0,0,23,0,15.5,2.8,-4.06,Graduate
1,1,5,12,1,1,1,22,27,10,10,1,0,0,0,0,19,0,7.6,2.6,0.32,Graduate
1,8,1,6,1,1,1,23,14,1,12,0,0,0,0,1,19,0,7.6,2.6,0.32,Dropout
1,1,1,8,1,1,1,3,14,4,6,1,0,0,0,0,20,0,10.8,1.4,1.74,Graduate
1,9,1,12,1,1,1,23,27,6,6,1,0,0,0,0,20,0,10.8,1.4,1.74,Graduate
1,12,1,17,0,1,1,13,28,6,6,0,0,0,1,0,27,0,10.8,1.4,1.74,Graduate
2,14,1,9,1,2,1,22,27,10,10,0,0,1,0,0,42,0,15.5,2.8,-4.06,Dropout
1,13,1,7,1,1,1,5,5,3,3,0,0,0,1,0,30,0,15.5,2.8,-4.06,Dropout
1,1,2,12,1,1,1,23,27,6,7,1,0,0,0,1,19,0,13.9,-0.3,0.79,Graduate
1,8,1,5,1,1,1,1,1,6,1,1,0,0,1,0,18,0,7.6,2.6,0.32,Dropout
3,12,1,17,0,1,1,22,1,10,3,0,0,0,1,0,43,0,9.4,-0.8,-3.12,Graduate
1,1,3,15,1,1,4,13,14,5,10,1,0,0,1,1,18,1,16.2,0.3,-0.92,Graduate
1,8,6,7,1,1,1,22,11,5,12,1,0,0,1,0,19,0,7.6,2.6,0.32,Dropout
1,1,2,15,1,1,1,13,1,4,10,1,0,0,0,1,18,0,16.2,0.3,-0.92,Graduate
1,15,1,7,1,1,1,22,10,10,9,1,0,1,1,0,23,0,13.9,-0.3,0.79,Dropout
1,4,1,12,1,3,1,22,27,5,5,0,0,0,0,0,25,0,10.8,1.4,1.74,Graduate
1,1,1,6,1,1,1,23,27,10,10,1,0,0,0,0,21,0,10.8,1.4,1.74,Graduate
1,1,1,2,1,1,1,1,14,4,10,1,0,0,0,0,18,0,12.7,3.7,-1.7,Graduate
1,1,1,2,1,1,1,3,3,3,3,1,0,0,1,0,19,0,16.2,0.3,-0.92,Dropout
1,15,1,3,0,14,1,1,27,10,8,0,0,0,0,1,21,0,12.4,0.5,1.79,Graduate
1,8,2,11,1,1,1,13,28,7,7,1,0,0,1,0,19,0,15.5,2.8,-4.06,Graduate
1,1,6,12,1,1,1,13,27,4,6,1,0,1,1,1,20,0,12.4,0.5,1.79,Graduate
1,1,1,5,1,1,1,1,27,6,10,1,0,1,0,0,21,0,12.7,3.7,-1.7,Dropout
1,1,1,9,1,1,1,3,14,2,5,0,0,0,0,0,19,0,16.2,0.3,-0.92,Graduate
1,13,1,17,0,1,1,13,14,6,6,0,0,0,1,0,30,0,16.2,0.3,-0.92,Graduate
1,1,1,14,1,1,1,13,1,8,5,0,0,0,1,0,21,0,9.4,-0.8,-3.12,Dropout
1,8,2,10,1,1,1,22,27,10,5,0,0,0,0,1,19,0,13.9,-0.3,0.79,Graduate
1,1,1,12,1,1,1,3,3,3,3,0,0,0,1,0,18,0,10.8,1.4,1.74,Graduate
1,1,3,5,1,1,1,13,28,6,8,1,0,0,1,1,19,0,12.4,0.5,1.79,Graduate
2,1,4,12,1,1,1,23,28,6,6,1,0,0,0,0,18,0,15.5,2.8,-4.06,Graduate
1,15,1,10,1,14,1,1,1,4,6,0,0,0,0,1,20,0,13.9,-0.3,0.79,Graduate
1,1,6,12,1,1,1,10,27,6,10,1,0,0,0,0,19,0,12.4,0.5,1.79,Dropout
1,8,1,6,1,1,1,13,27,10,10,1,0,0,0,1,21,0,8.9,1.4,3.51,Graduate
1,8,4,12,1,1,1,13,28,10,7,1,0,0,1,1,18,0,13.9,-0.3,0.79,Graduate
1,8,2,10,1,1,1,2,3,4,4,1,0,0,0,0,19,0,9.4,-0.8,-3.12,Graduate
1,15,1,9,1,14,1,13,1,10,4,0,0,0,0,1,20,0,11.1,0.6,2.02,Graduate
1,12,1,17,0,1,1,1,27,5,7,0,0,0,1,0,25,0,9.4,-0.8,-3.12,Graduate
1,8,2,3,0,1,1,13,1,2,2,0,0,0,0,1,20,0,10.8,1.4,1.74,Graduate
1,13,1,7,1,1,1,3,1,3,10,1,0,0,1,0,26,0,7.6,2.6,0.32,Dropout
1,1,1,4,1,1,1,13,27,10,10,1,0,0,1,0,19,0,15.5,2.8,-4.06,Graduate
1,12,1,7,1,1,1,1,28,5,8,0,0,0,1,0,25,0,9.4,-0.8,-3.12,Dropout
1,1,5,11,1,1,1,3,14,4,10,1,0,0,1,0,19,0,8.9,1.4,3.51,Dropout
1,1,1,5,1,1,1,3,3,4,4,0,0,0,0,1,21,0,13.9,-0.3,0.79,Graduate
2,1,1,9,1,1,1,23,27,10,9,1,0,0,0,0,34,0,7.6,2.6,0.32,Dropout
1,9,1,7,1,1,1,13,1,12,4,1,0,1,1,0,24,0,9.4,-0.8,-3.12,Dropout
1,1,1,6,1,1,1,1,14,4,5,0,0,0,0,0,20,0,9.4,-0.8,-3.12,Graduate
1,1,3,12,1,1,1,1,27,5,10,1,0,0,0,0,19,0,7.6,2.6,0.32,Graduate
1,14,2,12,1,6,1,1,14,5,11,0,0,0,1,0,22,0,7.6,2.6,0.32,Graduate
1,1,1,5,1,1,1,1,14,4,10,1,0,0,1,0,20,0,16.2,0.3,-0.92,Graduate
